asin,title,brand,rating,ratings_count,category,prime_eligible,latest_price,last_price_update
B0C7KFZ5TL,"ASUS ROG Strix Scope II 96 Wireless Mechanical Gaming Keyboard – 96% Full-Size, Tri-Mode Connectivity, Hot Swappable Pre-lubed ROG NX Snow Linear Switches, PBT Keycaps, RGB, PC/Mac Support-Black",Generic,4.6,0,mechanical keyboard wireless,0,582.91,2026-09-03 10:15:54
B0CQ2MSP2B,"RK ROYAL KLUDGE S98 Wireless Mechanical Keyboard w/Smart Display & Knob | 96% Top Mount RGB Gaming Keyboard BT/2.4G/USB-C, 5-Layer Noise Dampening, Creamy Sound Pre-lubed Switch,Hot Swap, 98 Keys",Generic,4.4,0,mechanical keyboard wireless,0,402.12,2026-09-03 10:15:54
B0CQ53BKWT,"AULA F75 75% Wireless Mechanical Keyboard, Hot Swappable Creamy Keyboard, Pre-lubed Reaper Switches, 2.4GHz/Type-C/BT5.0, RGB Backlit Gaming Keyboards(White & Blue)",Generic,4.6,0,mechanical keyboard wireless,0,293.67,2026-09-03 10:15:54
B0D9M75HS5,"AULA 99 Key Purple Keyboard, Wireless Gaming Keyboard with Number Pad | RGB Backlit,Programmable,Creamy Sounding,Tri-Mode BT/2.4GHz/USB-C,2000mAh Membrane Keyboard,Thocky Computer Keyboards",Generic,4.2,0,mechanical keyboard wireless,0,126.48,2026-09-03 10:15:54
B0DFXV6ZPM,"GravaStar Mercury K1 75% Wireless Mechanical Gaming Keyboard RGB Backlit | Gasket Mount, Hot Swappable Linear Switches, Creamy Sound Keyboard, 2.4GHz/USB-C/Bluetooth 5.0, for Win/Mac【Gradient Black】",Generic,4.7,0,mechanical keyboard wireless,0,587.21,2026-09-03 10:15:54
B0DZ28ZGYL,"AULA S99 Gaming Keyboard, Wireless Green Creamy Computer Keyboards | Tri-Mode Bluetooth/2.4GHz/USB-C Membrane Keyboard with Number Pad,99Keys,RGB Backlit,Programmable,Creamy Silicone Structure",Generic,4.2,0,mechanical keyboard wireless,0,126.48,2026-09-03 10:15:54
B0F8VYDRDP,"AULA 99 Key Keyboard, Wireless Pink Gaming Keyboard Creamy with Number Pad | Membrane Keyboard,RGB Backlit,Tri-Mode BT/2.4GHz/USB-C,2000mAh Rechargeable Thocky Clicky Creamy Sound Computer Keyboards",Generic,4.2,0,mechanical keyboard wireless,0,126.48,2026-09-03 10:15:54
B0G3PTHM36,"AULA F75 75% Wireless Mechanical Keyboard, Hot Swappable Creamy Keyboard, Pre-lubed Linear Switches, 2.4GHz/Type-C/BT5.0, RGB Backlit Gaming Keyboards(White&Brown)",Generic,4.6,0,mechanical keyboard wireless,0,342.02,2026-09-03 10:15:54
B0GPX33BS2,"Redragon K768 PRO Wireless 100-Key Gasket Gaming Keyboard, Knob + 8000mAh | Multi-Function Control Wheel, 0-Delay Tri-Mode, Cushioned 5-Layer Noise Dampening for Creamy Thocky Sound, Practical 95% Size",Generic,4.8,0,mechanical keyboard wireless,0,248.48,2026-09-03 10:15:54
B09LK1P1RD,"Logitech MX Mechanical Wireless Illuminated Keyboard Tactile - Graphite | Low-profile full-size, 3 device Bluetooth pairing, Smart backlight auto-adjusts, USB-C rechargeable, Up to 15 day battery",Generic,4.2,0,mechanical keyboard wireless,0,,
B0BLYKTL78,"Redragon K556 PRO Wireless RGB Mechanical Gaming Keyboard, 104-Key Aluminum | 0 Delay Tri-Mode BT/2.4GHz/USB-C for More Devices, Rock-Solid Stability, AM-PM Using Durability, Quiet Linear Red Switch",Generic,4.2,0,mechanical keyboard wireless,0,257.52,2026-09-03 10:15:53
B0CLLHSWRL,"AULA F99 Wireless Mechanical Keyboard,Tri-Mode BT5.0/2.4GHz/USB-C Hot Swappable Custom Keyboard,Pre-lubed Linear Switches,RGB Backlit Computer Gaming Keyboards for PC/Tablet/PS/Xbox",Generic,4.5,0,mechanical keyboard wireless,0,311.75,2026-09-03 10:15:53
B0D14N2QZF,"AULA F75 Pro Wireless Mechanical Keyboard,75% Hot Swappable Custom Keyboard with Knob,RGB Backlit,Pre-lubed Reaper Switches,Side Printed PBT Keycaps,2.4GHz/USB-C/BT5.0 Mechanical Gaming Keyboards",Generic,4.6,0,mechanical keyboard wireless,0,293.67,2026-09-03 10:15:53
B0DBZGH5XM,"Kisnt KN85 Wireless Mechanical Keyboard, 75% Layout, Bluetooth/2.4GHz/USB-C, Custom RGB Backlit, Hot-Swappable Linear Switch, Creamy Sound for Gaming/Typing (Retro Beige)",Generic,4.6,0,mechanical keyboard wireless,0,230.41,2026-09-03 10:15:53
B0DKNDPKV3,"AULA F99 Pro Wireless Mechanical Keyboard with Number Pad, Knob, 99 Keys | Gasket Structure, Tri-Mode Connection, Hot Swappable, Creamy Sound, RGB Backlit, PBT Keycaps Computer Gaming Keyboards for PC",Generic,4.7,0,mechanical keyboard wireless,0,342.92,2026-09-03 10:15:53
B0DKNLMD9D,"AULA S98 Pro Wireless Mechanical Gaming Keyboard with Screen, Knob, 96 Keys | 2.4GHz/USB-C/BT5.0, Hot-Swappable, Linear Switches, Gasket Mount, PBT Keycaps, RGB Backlit Creamy Keyboard for PC/Office",Generic,4.5,0,mechanical keyboard wireless,0,406.64,2026-09-03 10:15:53
B0F1MKZJMH,"Redragon Wireless Typewriter Style Mechanical Gaming Keyboard, Black | Bluetooth/2.4Ghz/Wired, RGB Led Backlit, Blue Switch - Clicky, Rechargeable 4000mAh, Solid Metal Panel, Round Keycaps",Generic,4.5,0,mechanical keyboard wireless,0,293.67,2026-09-03 10:15:53
B0FDKPF9QJ,"Redragon K745 PRO Wireless 108-Key Gasket RGB Gaming Keyboard, 4 Hotkeys | Extra Shortcut Keys, 0-Delay Tri-Mode, Cushioned Noise Dampening for Creamy Thocky Sound, Unfaded PBT Keycaps, PRO Software",Generic,4.6,0,mechanical keyboard wireless,0,271.08,2026-09-03 10:15:53
B0FG6JNWBS,"Redragon K521KS Wireless Gaming Keyboard, Tri-Mode BT/2.4G/USB-C RGB Mechanical Feeling Keyboard with Multimedia Keys, 4000mAh Battery, Anti-Ghosting, Compatible with PC - Upgrade",Generic,4.4,0,mechanical keyboard wireless,0,121.96,2026-09-03 10:15:53
B0H4X4N6K5,"Virtusx Phronesis Wireless Mechanical AI Keyboard - Software with Chatbot, Voice Typing, AI Meeting Notes, Transcribe, Translate, Summarize, TKL, Hot-Swappable, PBT Keycaps, RGB Backlit, Mac & Windows",Generic,4.9,0,mechanical keyboard wireless,0,763.66,2026-09-03 10:15:53
B08N5LNQCX,Precision Vertical Wireless Mouse with Thumb Rest,LogiPro,4.6,8390,ergonomic mouse,1,69.99,2026-09-03 10:06:05
B09W2DF485,Bio-Entropic Ergonomic Split Mechanical Keyboard,ErgoTech,4.8,1420,mechanical keyboard wireless,1,189.99,2026-09-03 10:06:05
